,player_id,pts,reb,ast,blk,stl,fg%,ft%,fg3m,min,tov
0,203932,16.06,6.75,1.99,0.71,0.91,0.44,0.78,1.4,33.94,1.58
1,201143,12.34,5.8,3.25,1.03,0.65,0.47,0.76,1.13,30.25,1.61
2,202329,9.78,5.39,1.75,0.45,0.95,0.44,0.74,1.41,27.98,1.14
3,202692,8.35,2.42,1.53,0.14,0.54,0.41,0.77,0.69,20.8,1.01
4,203518,5.5,1.73,0.99,0.11,0.48,0.41,0.8,1.07,17.0,0.57
5,203458,8.35,6.87,0.74,1.29,0.54,0.51,0.65,0.0,23.28,1.24
6,1627816,2.24,0.93,0.54,0.05,0.15,0.45,1.0,0.35,9.09,0.3
7,203459,10.02,3.48,1.6,0.32,0.62,0.42,0.81,1.4,26.28,1.04
8,101161,3.33,3.13,0.77,0.38,0.46,0.46,0.6,0.03,13.59,0.6
9,203083,15.57,11.09,2.39,1.59,1.09,0.51,0.62,0.08,33.34,2.01
10,2738,8.1,3.87,3.28,0.48,0.86,0.46,0.74,0.76,26.66,1.2
11,101106,2.24,3.56,0.72,1.02,0.23,0.44,0.55,0.0,13.35,0.84
12,1626150,9.82,2.65,3.75,0.2,0.99,0.45,0.82,0.71,26.52,1.55
13,203952,15.88,4.99,2.34,0.4,0.92,0.45,0.8,1.34,32.16,1.6
14,203076,24.99,10.1,2.28,1.95,1.15,0.52,0.77,0.44,35.26,2.17
15,201229,7.18,2.33,0.95,0.19,0.46,0.43,0.82,1.03,18.15,0.7
16,203382,4.01,3.69,0.56,0.61,0.33,0.47,0.67,0.01,14.89,0.67
17,203085,13.69,2.7,3.35,0.25,0.92,0.42,0.81,1.84,31.23,1.55
18,202340,14.43,3.3,2.3,0.18,1.06,0.43,0.78,1.7,30.66,1.54
19,203463,6.76,2.28,0.98,0.25,0.6,0.42,0.79,0.91,19.23,0.81
20,202687,5.08,4.47,0.64,1.11,0.36,0.5,0.64,0.01,17.78,0.81
21,201933,19.34,4.71,4.19,0.38,0.98,0.42,0.8,1.5,34.17,2.18
22,1626246,5.72,3.71,0.51,0.33,0.38,0.45,0.75,0.01,14.41,0.72
23,1626171,11.96,6.07,1.44,0.4,0.66,0.44,0.77,0.95,25.19,1.33
24,202711,12.52,3.05,1.94,0.16,0.74,0.44,0.83,1.58,28.14,1.3
25,203078,19.78,3.86,4.7,0.29,1.08,0.44,0.84,1.85,35.18,2.14
26,1627742,16.19,4.19,3.09,0.45,0.86,0.45,0.79,0.86,32.67,2.04
27,201572,9.2,3.67,0.96,0.51,0.45,0.41,0.78,1.07,21.67,0.86
28,203998,4.79,2.44,0.61,0.14,0.33,0.46,0.67,0.57,13.21,0.54
29,1627854,6.4,2.09,1.03,0.15,0.43,0.42,0.85,0.86,18.14,0.67
30,1627741,12.29,3.46,2.21,0.27,1.25,0.42,0.82,1.56,30.44,1.38
31,203468,19.37,4.12,2.76,0.43,0.89,0.45,0.85,2.31,34.72,1.69
32,101139,9.96,2.73,1.48,0.23,0.59,0.4,0.84,1.79,24.45,1.02
33,1626166,7.91,2.42,2.66,0.1,0.79,0.41,0.78,0.88,23.51,1.25
34,1627747,11.69,3.19,3.97,0.27,1.16,0.45,0.8,1.0,29.29,1.77
35,2546,13.61,4.63,1.89,0.32,0.7,0.45,0.78,1.62,30.07,1.27
36,202718,7.8,2.52,1.11,0.32,0.64,0.46,0.84,0.99,20.34,0.68
37,101112,4.57,2.2,0.89,0.27,0.34,0.39,0.72,0.77,15.99,0.54
38,1627767,3.92,3.08,0.46,0.47,0.27,0.47,0.74,0.0,12.53,0.67
39,101108,17.44,3.69,6.56,0.29,1.6,0.43,0.83,1.94,34.49,2.56
40,203991,14.2,9.74,1.44,1.81,0.61,0.54,0.68,0.0,31.77,1.93
41,203469,7.5,5.43,0.79,0.82,0.42,0.48,0.78,0.01,21.68,1.13
42,201147,6.69,3.08,1.21,0.2,0.94,0.44,0.74,0.6,19.2,0.9
43,202709,7.96,3.3,2.72,0.22,0.71,0.44,0.76,0.92,24.2,1.2
44,201584,13.29,2.98,2.8,0.26,1.1,0.48,0.8,1.52,30.65,1.26
45,1626245,4.2,2.93,0.61,0.27,0.29,0.5,0.71,0.0,14.39,0.67
46,1626156,12.65,2.91,3.63,0.2,0.87,0.42,0.84,1.45,27.63,2.01
47,201571,8.88,1.7,2.96,0.09,0.58,0.41,0.83,1.04,21.88,1.2
48,1627745,5.27,4.08,0.63,0.56,0.31,0.49,0.64,0.0,17.32,0.7
49,203081,23.96,4.23,5.52,0.41,1.16,0.43,0.84,2.12,36.34,2.84
50,201568,15.26,4.64,2.08,0.46,0.66,0.43,0.86,1.28,31.8,1.43
51,201980,7.83,3.31,1.45,0.57,0.88,0.41,0.83,1.38,24.95,0.91
52,201967,5.81,3.47,0.98,0.27,0.46,0.45,0.71,0.6,18.76,0.75
53,203957,7.99,2.07,3.53,0.1,0.79,0.43,0.76,0.51,22.8,1.37
54,1627863,7.73,2.89,1.34,0.34,0.58,0.44,0.72,0.99,19.74,0.88
55,203967,13.38,5.04,2.21,0.39,0.71,0.45,0.8,1.22,31.38,1.5
56,201954,11.29,2.4,4.36,0.17,1.14,0.45,0.8,0.97,29.44,1.47
57,1628021,7.91,4.28,1.35,0.38,0.79,0.45,0.72,0.21,23.69,1.14
58,202722,6.28,2.06,0.75,0.28,0.48,0.42,0.75,1.09,17.82,0.58
59,201599,9.77,10.14,1.4,1.25,0.62,0.56,0.61,0.0,29.19,1.68
60,1627761,5.62,2.28,2.17,0.2,0.79,0.41,0.74,0.36,18.36,1.07
61,201942,20.98,4.14,3.59,0.25,1.0,0.44,0.83,1.11,34.63,2.09
62,202326,26.47,7.74,5.73,0.85,1.57,0.47,0.76,1.74,38.35,3.49
63,201960,12.62,5.03,1.82,0.54,0.9,0.45,0.81,1.27,30.37,1.41
64,1626153,8.59,3.02,2.93,0.28,0.85,0.45,0.77,0.63,23.25,1.51
65,1627743,3.23,1.03,1.23,0.11,0.4,0.41,0.72,0.23,11.09,0.59
66,203471,18.97,3.36,5.93,0.17,1.04,0.45,0.83,1.18,33.0,2.47
67,202324,11.51,6.62,1.49,1.15,0.85,0.5,0.7,0.16,27.96,1.38
68,1627884,4.32,3.08,0.28,0.84,0.26,0.52,0.62,0.0,14.05,0.73
69,201565,10.87,2.36,1.95,0.19,0.75,0.44,0.79,0.46,24.87,1.53
70,1626164,23.94,4.89,5.43,0.33,1.05,0.43,0.84,2.16,36.56,2.58
71,2734,7.65,1.82,2.23,0.14,0.6,0.43,0.82,0.95,20.08,1.06
72,203473,8.47,5.12,1.43,0.58,0.69,0.46,0.78,0.89,24.68,0.94
73,1627738,4.98,4.06,0.9,0.55,0.4,0.47,0.65,0.05,16.4,0.64
74,203079,13.53,2.6,3.04,0.19,0.87,0.42,0.82,1.72,29.54,1.68
75,1717,10.88,4.05,1.55,0.36,0.65,0.43,0.82,1.47,25.28,0.97
76,1627734,12.81,7.2,1.31,0.62,0.73,0.48,0.77,0.03,27.99,1.7
77,1627827,5.01,2.21,0.89,0.31,0.45,0.4,0.72,0.81,18.34,0.64
78,203926,6.67,2.43,0.89,0.18,0.28,0.45,0.83,0.89,18.6,0.62
79,1627733,6.58,2.95,1.19,0.51,0.6,0.4,0.73,1.01,21.84,0.84
80,203110,11.51,6.67,6.34,0.83,1.51,0.44,0.75,1.07,32.67,2.64
81,2730,17.83,9.44,2.44,1.86,0.75,0.52,0.69,0.01,33.34,2.25
82,203939,8.92,5.6,1.31,0.54,0.86,0.46,0.7,0.37,25.22,1.25
83,2548,9.96,3.27,2.65,0.31,0.84,0.44,0.8,0.6,25.5,1.53
84,202734,12.17,2.76,2.76,0.18,1.15,0.46,0.8,1.36,28.59,1.22
85,202334,4.9,4.97,0.6,0.83,0.47,0.5,0.61,0.09,18.93,0.88
86,203901,13.7,3.98,5.3,0.32,1.23,0.44,0.76,0.73,30.85,2.28
87,1626144,10.24,2.62,3.7,0.13,0.81,0.43,0.82,1.08,25.42,1.62
88,202683,11.48,8.01,1.14,0.56,0.61,0.5,0.67,0.0,26.89,1.48
89,202339,15.82,3.57,5.19,0.36,1.37,0.43,0.84,1.43,32.95,2.12
90,201569,15.74,2.85,2.43,0.21,0.89,0.45,0.86,2.07,31.98,1.5
91,101141,11.72,6.22,1.68,0.46,0.76,0.44,0.77,1.33,28.11,1.16
92,203095,14.7,3.41,2.9,0.25,0.8,0.43,0.8,1.93,29.7,1.64
93,202323,7.08,3.13,2.11,0.32,0.64,0.43,0.74,0.43,22.04,1.12
94,1626163,10.46,2.68,1.2,0.11,0.57,0.43,0.83,1.27,22.57,1.08
95,1627832,11.47,2.74,2.56,0.19,0.98,0.44,0.86,1.41,27.24,1.37
96,202066,8.89,2.59,1.98,0.23,0.82,0.43,0.81,1.11,26.75,1.12
97,203914,15.93,4.2,2.67,0.3,1.21,0.43,0.79,1.71,32.68,1.67
98,1627780,4.81,2.1,0.93,0.11,0.58,0.48,0.72,0.47,15.4,0.67
99,201588,8.08,2.84,1.95,0.16,0.75,0.42,0.78,1.1,24.8,0.9
100,101123,8.4,2.28,1.03,0.28,0.6,0.4,0.82,1.48,21.07,0.74
101,203507,25.86,9.84,4.16,1.49,1.4,0.5,0.76,0.65,36.7,2.86
102,203922,4.95,1.66,1.49,0.12,0.63,0.41,0.83,0.64,16.76,0.73
103,201609,16.35,3.42,3.83,0.15,0.81,0.45,0.83,1.33,32.28,2.05
104,203476,4.85,3.0,0.84,0.37,0.59,0.48,0.75,0.14,15.93,0.51
105,202328,9.93,7.14,1.76,0.58,0.76,0.51,0.74,0.07,24.3,1.44
106,203084,17.99,6.59,2.08,0.5,0.91,0.45,0.84,1.5,33.36,1.42
107,202355,15.11,8.9,1.73,1.51,0.72,0.53,0.74,0.0,32.03,1.75
108,1627740,5.43,1.89,1.01,0.1,0.45,0.44,0.85,0.66,14.39,0.73
109,203546,7.51,2.28,1.24,0.26,0.49,0.45,0.8,1.02,19.86,0.64
110,101133,5.05,3.98,0.69,0.55,0.52,0.48,0.64,0.0,16.97,0.98
111,202697,7.15,3.41,1.31,0.31,0.86,0.42,0.75,0.84,21.02,1.05
112,203477,6.9,1.89,2.98,0.13,0.68,0.39,0.78,0.77,20.08,1.17
113,202738,11.67,2.12,3.74,0.1,0.69,0.42,0.81,1.24,25.78,1.92
114,202397,7.92,2.12,3.43,0.1,0.71,0.44,0.76,0.32,22.49,1.21
115,1627826,6.38,4.4,0.6,0.49,0.36,0.53,0.65,0.0,17.67,0.85
116,200826,10.76,2.59,5.15,0.06,0.71,0.42,0.77,1.51,27.21,1.77
117,200755,15.37,2.87,2.55,0.18,0.83,0.45,0.86,1.81,30.79,1.48
118,2747,6.99,2.31,1.73,0.18,0.61,0.43,0.81,1.19,24.38,0.8
119,203210,10.65,6.74,1.54,0.5,0.72,0.46,0.78,0.59,27.52,1.28
120,201580,4.09,2.74,0.32,0.7,0.24,0.54,0.62,0.0,11.35,0.43
121,203953,10.65,3.4,1.99,0.32,0.7,0.43,0.78,0.84,24.99,1.2
122,203109,8.67,2.98,1.36,0.18,0.62,0.42,0.81,1.28,23.15,0.92
123,1626143,6.75,3.88,0.74,0.53,0.33,0.47,0.77,0.05,17.94,0.88
124,1627774,2.69,0.93,0.75,0.11,0.34,0.41,0.77,0.26,9.96,0.4
