,player_name,player_id,season_id,pts,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,ast,stl,tov,blk,fg%,ft%,reb
0,Aaron Gordon,203932,2018-19,16.1,33.9,6.0,13.5,1.4,4.0,2.8,3.6,1.6,5.1,2.0,0.9,1.6,0.7,0.44,0.78,6.75
1,Al Horford,201143,2018-19,12.3,30.2,4.9,10.4,1.1,3.1,1.5,1.9,1.2,4.6,3.2,0.7,1.6,1.0,0.47,0.76,5.8
2,Al-Farouq Aminu,202329,2018-19,9.8,28.0,3.6,8.2,1.4,3.9,1.2,1.7,1.1,4.3,1.8,0.9,1.1,0.4,0.44,0.74,5.39
3,Alec Burks,202692,2018-19,8.3,20.8,3.0,7.3,0.7,2.2,1.7,2.2,0.5,1.9,1.5,0.5,1.0,0.1,0.41,0.77,2.42
4,Alex Abrines,203518,2018-19,5.5,17.0,1.9,4.6,1.1,2.8,0.7,0.8,0.4,1.4,1.0,0.5,0.6,0.1,0.41,0.8,1.73
5,Alex Len,203458,2018-19,8.3,23.3,3.2,6.2,0.0,0.0,1.9,3.0,2.5,4.4,0.7,0.5,1.2,1.3,0.51,0.65,6.87
6,Alex Poythress,1627816,2018-19,2.2,9.1,0.8,1.9,0.3,0.9,0.1,0.1,0.2,0.7,0.5,0.1,0.3,0.0,0.45,1.0,0.93
7,Allen Crabbe,203459,2018-19,10.0,26.3,3.6,8.6,1.4,3.7,1.3,1.6,0.7,2.8,1.6,0.6,1.0,0.3,0.42,0.81,3.48
8,Amir Johnson,101161,2018-19,3.3,13.6,1.4,3.0,0.0,0.1,0.5,0.9,1.1,2.0,0.8,0.5,0.6,0.4,0.46,0.6,3.13
9,Andre Drummond,203083,2018-19,15.6,33.3,6.2,12.2,0.1,0.3,3.0,4.9,3.3,7.7,2.4,1.1,2.0,1.6,0.51,0.62,11.09
10,Andre Iguodala,2738,2018-19,8.1,26.7,3.1,6.7,0.8,2.3,1.2,1.6,0.7,3.2,3.3,0.9,1.2,0.5,0.46,0.74,3.87
11,Andrew Bogut,101106,2018-19,2.2,13.3,0.9,2.1,0.0,0.0,0.4,0.8,1.1,2.4,0.7,0.2,0.8,1.0,0.44,0.55,3.56
12,Andrew Harrison,1626150,2018-19,9.8,26.5,3.7,8.2,0.7,2.0,1.7,2.1,0.4,2.3,3.7,1.0,1.6,0.2,0.45,0.82,2.65
13,Andrew Wiggins,203952,2018-19,15.9,32.2,6.0,13.3,1.3,3.6,2.6,3.3,1.1,3.9,2.3,0.9,1.6,0.4,0.45,0.8,4.99
14,Anthony Davis,203076,2018-19,25.0,35.3,9.4,18.0,0.4,1.4,5.7,7.4,2.3,7.8,2.3,1.2,2.2,1.9,0.52,0.77,10.1
15,Anthony Tolliver,201229,2018-19,7.2,18.1,2.6,6.1,1.0,2.7,1.0,1.2,0.4,1.9,0.9,0.5,0.7,0.2,0.43,0.82,2.33
