,player_id,pts,reb,ast,blk,stl,fg%,ft%,fg3m,min,tov
0,203932,16.0,7.4,3.7,0.7,0.7,0.45,0.75,1.6,33.8,2.1
1,201143,13.6,6.8,4.2,1.3,0.9,0.54,0.79,1.1,29.0,1.5
2,202329,9.4,7.5,1.3,0.4,0.8,0.44,0.9,1.2,28.3,0.9
3,202692,8.8,3.7,2.0,0.3,0.6,0.41,0.82,1.0,21.5,1.0
4,203518,5.3,1.6,0.6,0.2,0.5,0.35,1.0,1.3,19.0,0.5
5,203458,11.1,5.6,1.1,0.9,0.4,0.5,0.64,1.0,20.1,1.3
6,1627816,5.1,3.6,0.8,0.5,0.2,0.49,0.64,0.4,14.5,0.6
7,203459,9.6,3.5,1.1,0.3,0.5,0.37,0.77,2.3,26.4,1.1
8,101161,3.9,2.9,1.2,0.3,0.3,0.48,0.75,0.2,10.4,0.9
9,203083,17.3,15.6,1.4,1.7,1.7,0.53,0.6,0.1,33.5,2.2
10,2738,5.7,3.7,3.2,0.8,0.9,0.5,0.6,0.7,23.2,0.8
11,101106,3.5,5.0,1.0,0.7,0.3,0.48,1.0,0.0,12.2,0.7
12,1626150,3.2,1.2,1.4,0.1,0.2,0.29,0.91,0.3,10.9,0.7
13,203952,18.1,4.8,2.5,0.7,1.0,0.41,0.68,1.6,34.8,1.9
14,203076,25.9,12.0,3.9,2.4,1.6,0.52,0.79,0.9,33.0,2.0
15,201229,5.0,2.7,0.7,0.3,0.3,0.38,0.78,1.2,16.6,0.6
16,203382,5.6,4.7,1.1,0.7,0.2,0.48,0.83,0.4,16.1,0.8
17,203085,8.1,2.1,2.2,0.3,0.6,0.41,0.54,1.4,26.7,0.9
18,202340,9.9,2.8,2.4,0.3,0.7,0.4,0.87,1.4,30.2,1.4
19,203463,3.9,0.9,0.2,0.2,0.3,0.38,0.67,0.9,8.3,0.3
20,202687,4.4,4.6,0.6,0.8,0.2,0.55,0.65,0.0,14.5,0.6
21,201933,24.5,7.5,5.4,0.4,0.7,0.46,0.75,2.5,35.0,3.4
22,1626246,7.3,4.6,0.9,0.5,0.3,0.62,0.74,0.1,11.7,1.0
23,1626171,14.2,8.1,1.4,0.4,0.7,0.44,0.79,1.5,26.0,1.5
24,202711,18.0,4.1,2.0,0.0,0.9,0.49,0.79,2.0,31.8,1.7
25,203078,25.6,5.0,5.5,0.7,1.5,0.47,0.8,2.5,36.9,2.7
26,1627742,18.3,5.1,3.0,0.6,0.5,0.5,0.68,0.6,33.9,2.5
27,201572,12.5,4.9,1.2,2.2,0.6,0.45,0.87,2.3,28.7,1.0
28,203998,8.3,4.6,1.5,1.0,0.4,0.42,0.8,1.4,23.5,1.1
29,1627854,11.8,2.9,2.1,0.0,0.5,0.46,0.8,2.1,28.0,1.0
30,1627741,20.7,5.0,2.5,0.4,0.7,0.46,0.88,3.4,31.9,1.8
31,203468,21.0,4.0,3.0,0.4,0.8,0.46,0.85,2.4,33.9,1.5
32,101139,6.4,1.7,0.7,0.3,0.5,0.36,0.82,1.3,16.2,0.6
33,1626166,6.3,1.8,2.7,0.2,0.7,0.43,0.8,0.6,17.8,1.1
34,1627747,13.7,3.8,3.9,0.4,1.1,0.43,0.68,1.2,26.6,1.7
35,2546,13.4,5.4,0.5,0.7,0.4,0.4,0.68,2.1,29.4,0.8
36,202718,7.5,2.8,1.7,0.2,0.8,0.37,0.9,1.2,19.8,1.3
37,101112,3.6,1.4,0.6,0.1,0.2,0.36,0.75,0.9,9.5,0.4
38,1627767,6.0,5.2,0.5,0.5,0.5,0.62,0.8,0.0,14.0,0.8
39,101108,15.6,4.5,8.2,0.3,2.0,0.42,0.86,2.2,32.0,2.6
40,203991,16.6,12.6,1.4,1.5,0.7,0.65,0.64,0.0,33.6,1.4
41,203469,10.1,6.8,2.1,0.8,0.8,0.56,0.79,0.1,25.4,1.3
42,201147,4.9,2.4,1.3,0.2,1.0,0.42,0.71,0.5,15.9,0.6
43,202709,6.5,3.4,3.9,0.3,1.1,0.42,0.8,0.7,25.2,1.0
44,201584,4.0,1.6,1.1,0.1,0.6,0.42,0.67,0.5,12.6,0.4
45,1626245,4.0,3.6,0.6,0.1,0.2,0.53,0.67,0.0,12.4,0.6
46,1626156,21.1,3.9,7.0,0.2,1.2,0.43,0.8,2.9,30.2,3.1
47,201571,11.7,2.5,5.3,0.0,0.6,0.46,0.85,1.6,28.0,1.6
48,1627745,5.4,3.1,1.2,1.0,0.5,0.71,0.67,0.0,17.1,0.7
49,203081,25.8,4.7,6.9,0.4,1.1,0.44,0.92,3.0,35.5,2.7
50,201568,19.8,6.1,2.6,0.3,0.7,0.46,0.9,2.4,30.3,1.5
51,201980,10.3,4.0,1.6,0.7,0.9,0.47,0.83,2.5,27.7,0.9
52,201967,3.0,3.0,0.8,0.2,0.4,0.48,0.67,0.5,14.5,0.3
53,203957,6.9,1.6,2.6,0.1,0.3,0.42,0.8,0.4,15.8,1.2
54,1627863,9.4,3.5,1.0,0.3,0.5,0.46,0.78,1.9,25.1,0.9
55,203967,10.6,5.7,1.6,0.1,0.6,0.44,0.84,1.5,25.0,1.2
56,201954,11.2,3.1,6.0,0.1,1.4,0.47,0.84,1.0,28.2,1.6
57,1628021,6.5,3.2,1.1,0.3,0.7,0.49,0.65,0.5,19.3,0.6
58,202722,8.0,3.5,1.3,0.4,0.5,0.45,0.87,1.9,21.5,0.6
59,201599,11.0,13.1,2.3,1.1,0.6,0.63,0.71,0.0,29.7,2.2
60,1627761,8.4,4.4,2.5,0.5,1.3,0.45,0.65,0.6,23.6,1.7
61,201942,21.2,6.0,6.2,0.5,1.1,0.48,0.84,0.1,34.9,2.6
62,202326,16.3,8.2,3.6,1.5,1.3,0.48,0.73,0.9,25.7,2.4
63,201960,11.1,5.2,1.3,0.1,0.5,0.4,0.75,1.6,25.4,1.1
64,1626153,8.7,3.5,3.3,0.4,1.2,0.43,0.8,0.7,22.6,1.0
65,1627743,3.7,0.5,0.8,0.0,0.3,0.52,1.0,0.3,6.6,0.2
66,203471,15.5,3.6,4.1,0.2,0.8,0.41,0.83,1.6,29.3,2.2
67,202324,11.8,7.3,1.2,1.4,0.7,0.59,0.67,0.2,23.2,1.1
68,1627884,7.0,4.0,0.6,0.7,0.8,0.5,0.6,0.5,19.2,0.7
69,201565,18.0,2.7,4.3,0.2,0.6,0.48,0.87,1.1,27.3,1.6
70,1626164,26.6,4.1,6.8,0.2,0.9,0.47,0.86,2.1,35.0,4.1
71,2734,6.3,1.7,1.8,0.2,0.5,0.37,0.75,0.9,15.7,0.8
72,203473,10.8,7.5,1.4,1.1,1.1,0.49,0.78,1.3,25.1,1.3
73,1627738,4.0,4.0,0.6,0.6,0.3,0.71,0.64,0.0,13.2,0.3
74,203079,12.0,2.7,2.8,0.2,0.7,0.41,0.5,2.5,25.9,1.5
75,1717,7.3,3.1,0.7,0.4,0.2,0.35,0.8,1.3,15.6,0.4
76,1627734,14.1,9.3,2.9,0.4,0.6,0.59,0.72,0.1,24.8,2.2
77,1627827,7.5,4.8,1.2,0.4,0.9,0.43,0.69,1.0,24.5,0.9
78,203926,7.3,1.4,0.9,0.1,0.2,0.49,0.9,1.1,17.4,0.5
79,1627733,5.0,3.9,1.2,0.5,0.4,0.44,0.58,0.5,18.0,0.8
80,203110,7.4,7.3,6.9,1.1,1.4,0.44,0.71,0.7,31.3,2.6
81,2730,12.8,9.3,0.4,0.4,0.8,0.62,0.6,0.0,25.5,1.8
82,203939,10.6,5.3,1.5,0.6,0.6,0.6,0.76,0.5,21.6,0.9
83,2548,15.0,4.0,4.2,0.5,0.8,0.44,0.72,1.2,26.2,2.3
84,202734,11.9,2.4,1.9,0.2,0.8,0.48,0.73,1.4,27.6,1.1
85,202334,5.8,8.6,0.8,0.4,0.4,0.62,0.6,0.0,17.9,0.8
86,203901,10.6,5.3,7.6,0.4,1.0,0.44,0.72,0.8,29.8,2.7
87,1626144,14.8,3.4,3.9,0.3,0.7,0.45,0.75,1.2,27.2,2.4
88,202683,13.7,9.8,1.7,0.4,0.5,0.55,0.79,0.1,24.5,1.8
89,202339,15.9,4.7,5.5,0.4,1.5,0.48,0.77,1.6,29.1,2.1
90,201569,16.2,2.2,1.9,0.4,0.6,0.41,0.82,3.2,31.7,1.3
91,101141,6.8,4.5,0.8,0.3,0.5,0.44,0.82,0.9,18.4,0.7
92,203095,15.1,3.2,3.6,0.1,0.9,0.44,0.81,1.9,31.5,1.9
93,202323,6.8,4.5,3.9,0.2,0.5,0.46,0.67,0.2,22.0,1.6
94,1626163,8.6,3.4,1.3,0.3,0.3,0.46,0.74,1.1,16.1,0.9
95,1627832,11.0,2.6,4.8,0.3,0.9,0.4,0.83,1.8,27.5,1.3
96,202066,7.8,2.9,1.4,0.4,1.0,0.42,0.79,1.2,27.2,0.9
97,203914,12.9,2.8,2.2,0.3,1.0,0.42,0.8,1.4,28.8,1.2
98,1627780,3.7,0.6,1.3,0.3,1.0,0.63,0.0,0.3,5.3,0.3
99,201588,7.6,2.5,2.3,0.1,0.9,0.44,0.86,0.8,21.7,0.9
100,101123,9.2,2.5,0.5,0.4,0.5,0.41,0.89,2.1,20.2,0.8
101,203507,27.7,12.5,5.9,1.5,1.3,0.58,0.73,0.7,32.8,3.7
102,203922,4.2,1.5,0.4,0.2,0.3,0.43,0.78,0.4,13.0,0.4
